DateTime,AddedIPs,RemovedIPs
1512364149,1,3
1512386215,0,1
1512408278,1,0
1512430366,11,1
1512452473,0,1
1512474491,0,2
1512497051,3,2
1512518923,0,1
1512541013,0,2
1512563091,1,4
1512584995,1,4
1512606978,0,4
1512629062,1,2
1512650926,0,1
1512673108,0,1
1512695333,6,0
1512717396,0,1
1512783171,0,3
1512805316,1,0
1512827332,1,1
1512849394,82,1
1512871502,2,1
1512915689,2,0
1512937968,3,2
1512959816,0,1
1512981869,0,1
1513003956,0,1
1513026256,2,12
1513048155,6,1
1513070188,0,1
1513114129,1,2
1513136205,1,0
1513158277,2,0
1513180117,1,0
1513202206,1,1
1513224282,2,1
1513257631,2,0
1513279474,1,0
1513301576,1,5
1513323624,0,1
1513345716,1,2
1513367834,1,0
1513389881,0,1
1513411990,1,0
1513434053,1,0
1513456124,0,82
1513477996,0,2
1513500022,2,0
1513521870,3,2
1513543959,0,3
1513588153,9,1
1513610005,7,1
1513632043,1,1
1513654104,2,6
1513675990,1,0
1513719898,4,1
1513741971,1,1
1513764101,0,1
1513808627,0,1
1513852614,0,1
1513874664,0,1
1513897349,1,1
1513919308,0,1
1513941420,1,2
1513985814,1,0
1514007883,0,2
1514117891,0,5
1514139868,0,1
1514161728,1,0
1514183896,0,5
1514205855,0,5
1514227965,1,1
1514249924,1,1
1514271882,4,1
1514315802,2,2
1514337768,1,5
1514359753,0,5
1514382045,6,0
1514404128,0,3
1514425980,1,0
1514491957,0,1
1514514026,1,0
1514535873,1,0
1514557791,1,0
1514602011,0,1
1514646161,1,0
1514689980,1,0
1514712099,1,0
1514734287,0,1
1514756236,3,1
1514778285,2,0
1514800215,1,0
1514866372,0,2
1514888466,0,3
1514998603,0,6
1515154183,9,6
1515176225,0,1
1515198267,0,1
1515220533,2,0
1515242660,9,0
1515286591,2,0
1515308490,1,2
1515330504,1,0
1515352614,0,3
1515374828,2,1
1515396768,0,1
1515418727,2,0
1515440667,1,0
1515485059,1,2
1515529064,1,1
1515551071,1,1
1515573172,3,0
1515595230,5,0
1515617277,3,0
1515661284,2,0
1515683305,1,0
1515705436,0,1
1515727719,0,3
1515749807,0,1
1515771877,1,1
1515793955,0,1
1515816143,0,1
1515838393,0,6
1515860452,1,1
1515882822,0,1
1515904961,1,1
1515927165,6,0
1515949330,1,1
1515971651,1,0
1516015985,0,3
1516038027,1,0
1516059897,2,0
1516081973,1,0
1516103820,1,1
1516125683,1,1
1516147701,0,2
1516169600,1,1
1516191874,2,3
1516214112,0,6
1516236335,0,2
1516280171,2,1
1516324569,1,1
1516346690,1,1
1516369000,2,0
1516391020,0,1
1516412918,1,0
1516434983,1,0
1516456893,2,1
1516479192,0,2
1516545144,3,2
1516589052,1,1
1516610930,1,0
1516654881,3,2
1516677359,2,2
1516699246,0,3
1516721552,1,0
1516743934,0,2
1516765980,2,0
1516799326,0,3
1516821173,1,1
1516843067,2,0
1516865108,1,1
1516887160,1,1
1516909230,1,0
1516931648,0,1
1516953725,2,1
1516975713,1,1
1516997812,1,1
1517020189,5,0
1517042204,0,2
1517064260,3,7
1517107963,0,1
1517129804,1,2
1517195555,1,1
1517217689,2,2
1517239707,1,0
1517261560,2,2
1517283407,3,1
1517306346,2,0
1517328552,1,1
1517372747,1,1
1517394771,1,0
1517417077,3,2
1517439153,2,0
1517461485,0,1
1517505414,0,2
1517527482,0,1
1517549577,1,1
1517593709,2,2
1517615572,4,4
1517637707,1,0
1517660131,0,3
1517682155,1,0
1517748458,1,0
1517770628,2,0
1517792924,0,1
1517815019,0,1
1517837062,0,1
1517858905,0,2
1517880762,0,4
1517924924,0,1
1517946772,0,1
1517968895,0,1
1517990932,0,1
1518013008,1,1
1518035065,0,1
1518057162,1,1
1518079479,1,0
1518123377,1,0
1518145288,0,1
1518167288,1,0
1518189648,1,1
1518211727,5,4
1518256151,0,1
1518278472,0,1
1518300508,1,0
1518322389,2,0
1518366764,1,2
1518388827,0,1
1518410710,3,1
1518433023,1,1
1518455073,2,0
1518477133,0,2
1518521068,0,1
1518543140,2,0
1518565113,1,0
1518587061,0,1
1518609143,1,1
1518631009,0,1
1518653022,4,2
1518674926,1,3
1518718963,1,2
1518740936,1,1
1518763368,1,1
1518829329,0,4
1518851328,0,2
1518873169,0,1
1518895226,2,0
1518917411,2,0
1518939382,2,1
1518961472,0,1
1518983313,0,1
1519005390,1,3
1519027476,0,5
1519049326,0,3
1519071405,2,1
1519137711,1,1
1519159715,0,3
1519181802,0,1
1519203713,1,0
1519225742,1,0
1519247793,0,2
1519269889,1,3
1519292186,1,0
1519314040,0,1
1519335892,1,1
1519357969,2,3
1519402143,3,0
1519424196,3,0
1519468341,1,0
1519490439,1,1
1519513384,2,2
1519535321,0,2
1519557402,1,3
1519579467,1,1
1519601548,0,1
1519623521,1,0
1519645481,2,0
1519667672,3,2
1519689764,0,1
1519711820,1,0
1519734045,0,2
1519756556,1,0
1519800770,2,1
1519822879,1,1
1519844916,0,1
1519889076,1,2
1519933480,1,1
1519955799,1,3
1519999863,1,1
1520022037,2,1
1520044096,1,1
1520066193,0,1
1520088038,0,1
1520110361,2,0
1520132234,1,0
1520198439,3,1
1520220505,2,0
1520242358,1,1
1520264428,1,0
1520286284,0,2
1520308171,0,1
1520330192,2,1
1520373979,1,1
1520395950,1,1
1520417824,3,0
1520439855,2,1
1520461956,1,0
1520505868,1,1
1520549803,2,0
1520571897,3,2
1520594192,4,0
1520616278,0,1
1520660428,1,1
1520704346,2,2
1520726575,2,0
1520748516,2,0
1520770607,1,0
1520815079,2,2
1520881272,1,1
1520903235,1,1
1520925161,1,0
1520947237,0,1
1520969549,0,1
1520991389,1,0
1521013465,0,3
1521035545,1,0
1521057393,2,2
1521090244,3,0
1521112119,1,0
1521134192,1,0
1521156432,0,1
1521178358,0,2
1521200419,1,3
1521222305,1,0
1521244600,1,0
1521310578,0,1
1521332661,0,1
1521355007,0,2
1521377066,1,2
1521399277,1,0
1521421443,0,1
1521443560,3,0
1521465877,0,1
1521487752,1,1
1521509773,0,2
1521531625,2,0
1521575470,1,0
1521597375,1,1
1521641658,0,1
1521663638,1,3
1521685717,0,1
1521707803,2,0
1521729876,1,1
1521774272,0,2
